trading_name,legal_business_name,licence_type,cca_code,address,administering_port
12th Man Brewing Company,D Wilson Holdings Limited,Manufacturing Area,13499G,"6 Botanical Heights Drive, Waipahihi, Taupo",Napier
5036 Boutique Brews Limited,5036 Boutique Brews Limited,Manufacturing Area,9879F,"4 Reikorangi Road, Waikanae",Wellington
8 Wired Brewing Limited,8 Wired Brewing Limited,Manufacturing Area,11480E,"56 Matakana Valley Road, Matakana, Auckland",Auckland
8 Wired Brewing Limited,8 Wired Brewing Limited,Manufacturing Area,9026D,"26 Glenmore Drive, Warkworth",Auckland
9.79 Brewing,"Sullivan, Bennett James (9.79 Brewing)",Manufacturing Area,13362A,"105 Morris Road, Fairfield, Dunedin",Dunedin
Acoustic Brewery Limited,Acoustic Brewery Limited,Manufacturing Area,14649J,"74 St Vincent Street, Toi Toi, Nelson",Nelson
Aka Aka Brewing Company,Aka Aka Brewing Company Limited,Manufacturing Area,13716C,"975 Aka Aka Road, Aka Aka, Waiuku",Auckland
Alibi Brewing Co,Tantalus Limited (Alibi Brewing Co),Manufacturing Area,9296H,"72 Onetangi Road, Waiheke Island",Auckland
Aliment Brewing Limited,Aliment Brewing Limited,Manufacturing Area,11467H,"483 Main Road, Riwaka, Motueka",Nelson
Altitude Brewing Limited,Altitude Brewing Limited,Manufacturing Area,12137B,"827 Frankton Road, Frankton, Queenstown",Dunedin
Altitude Brewing Limited,Altitude Brewing Limited,Off-site Storage Area,11032K,"37 Industrial Place, Frankton, Queenstown",Dunedin
Aorangi Peak Restaurant Limited,Aorangi Peak Restaurant Limited,Manufacturing Area,9325E,"353c Mountain Road, Rotorua",Tauranga
Aotea Brewing Co Limited,Aotea Brewing Company Limited (Aotea Brewing),Manufacturing Area,12716H,"50A Mason Road, Medlands Beach, Great Barrier Island",Auckland
Aotearoa Breweries NZ Limited,Aotearoa Breweries NZ Limited,Manufacturing Area,7800L,"17 Gateway Crescent, Whakatane",Tauranga
Arc Brewing Co,Emmjae NZ Limited (Arc Brewing Co.),Manufacturing Area,11609C,"1870 Waikouaiti-Waitati Road, Evansdale, Dunedin",Dunedin
Arrowtown Brewing Co,Arrowtown Brewing Limited (Arrowtown Brewing Co),Manufacturing Area,10173H,"48-50 Buckingham Street, Arrowtown",Dunedin
B.Effect Brewing Co,Butterfly Effect Brewing Company Limited (B.Effect Brewing Co),Manufacturing Area,10178J,"60 Anderson Road, Wanaka",Dunedin
B.Effect Brewing Co,Butterfly Effect Brewing Company Limited (B.Effect Brewing Co),Off-site Storage Area,10380C,"3 Reece Crescent, Wanaka",Dunedin
Barrier Brew,Great Barrier Island Brewing Company Limited,Manufacturing Area,11144K,"129 Hector Sanderson Road, Great Barrier Island",Auckland
Batsmen Brewery Limited,Batsmen Brewery Limited,Manufacturing Area,11084B,"3/11 McDonald Street, Morningside, Auckland",Auckland
Bean Bag Brewery Limited,Bean Bag Brewery Limited,Manufacturing Area,9997L,"497 Whitford Road, Whitford, Auckland",Auckland
Beer Baroness Brewing Limited,Beer Baroness Brewing Limited (Beer Baroness),Manufacturing Area,8429J,"292 Kilmore Street, Christchurch",Christchurch
Behemoth Brewing Co Limited,Behemoth Brewing Company Limited,Manufacturing Area,13657D,"1A, Charles Street, Mount Eden Auckland",Auckland
Bellend Brewery,Three Sisters Brewery Limited (Bellend Brewery),Manufacturing Area,13531D,"87 Devon Street West, New Plymouth",New Plymouth
Black Sands Brewing Company Limited,Black Sands Brewing Company Limited,Manufacturing Area,8536H,"Unit I, 9 Westech Place, Kelston, Auckland",Auckland
Bodgie Beer Limited,Bodgie Beer Limited (The Twisted Hop),Manufacturing Area,10484B,"Unit B, 7 Parkhouse Road, Wigram, Christchurch",Christchurch
Bond Street Brewery Limited,Bond Street Brewery Limited (Bond Street Brewery Limited),Manufacturing Area,8380B,"14-20 Bond Street, Wellington",Wellington
Bootleg Brewery Limited,Bootleg Brewery Limited,Manufacturing Area,13496B,"Tenancy F5, 452B Tauwhare Road, Tamahere, Hamilton",Tauranga
BOP Brewery Limited,BOP Brewery Limited,Manufacturing Area,7093K,"107 Newton Street, Mount Maunganui",Tauranga
Brew Union Brewing Co,Brew Union Limited (Brew Union Brewing Co),Manufacturing Area,9379D,"39-41 Broadway Avenue, Palmerston North",Wellington
Brewaucracy Production Company Limited,Brewaucracy Production Company Limited,Manufacturing Area,12309K,"34 Mahana Road, Te Rapa, Hamilton",Tauranga
Brewell Limited,Brewell Limited (Brewell Limited),Manufacturing Area,8323C,"68 Aro Street, Aro Valley, Wellington",Wellington
Brewstation,Brewstation Limited (Brewstation),Manufacturing Area,9168F,"Unit C, 124 Penrose Road, Penrose, Auckland",Auckland
Brewwell Limited,Brewell Limited,Manufacturing Area,9281K,"7 Marion Street, Te Aro, Wellington",Wellington
Brewwell Limited,Brewell Limited,Off-site Storage Area,9417L,"64 Port Road, Seaview, Lower Hutt",Wellington
BS Brewing Company,BS Brewing Company Limited (BS Brewing Company),Manufacturing Area,14584L,Address withheld,Dunedin
